score
-506.0
-497.0
-501.0
-495.0
-501.0
-503.0
-501.0
-501.0
-504.0
-510.0
-505.0
-501.0
-501.0
-504.0
-501.0
-501.0
-509.0
-501.0
520.0
-505.0
-501.0
-497.0
-501.0
-487.0
-502.0
-501.0
-506.0
-501.0
-495.0
-507.0
-502.0
-501.0
-502.0
-493.0
-504.0
-501.0
-501.0
-502.0
-511.0
-505.0
-501.0
-501.0
-493.0
-501.0
-501.0
-501.0
-505.0
-502.0
-493.0
-502.0
-499.0
-501.0
-505.0
-507.0
-501.0
-507.0
-501.0
-504.0
-501.0
-507.0
-504.0
-504.0
-501.0
-501.0
-501.0
-519.0
-499.0
-506.0
-499.0
-507.0
-501.0
-507.0
-501.0
-501.0
-502.0
-501.0
-502.0
-501.0
-501.0
-506.0
-501.0
-520.0
-501.0
-493.0
-519.0
-501.0
-501.0
-507.0
-498.0
-501.0
-511.0
-506.0
-511.0
-502.0
-516.0
-509.0
-501.0
-505.0
-497.0
-496.0
-501.0
-505.0
-502.0
-501.0
-498.0
-501.0
-501.0
-501.0
-510.0
-497.0
-501.0
-501.0
-518.0
-501.0
-501.0
-507.0
-501.0
-501.0
-501.0
-506.0
-501.0
-509.0
-507.0
-501.0
-501.0
-517.0
-501.0
-501.0
-501.0
-501.0
-505.0
-493.0
-501.0
-501.0
-501.0
-501.0
-505.0
-501.0
-501.0
-501.0
-510.0
-501.0
-506.0
-501.0
-507.0
-501.0
-502.0
520.0
-501.0
-502.0
-504.0
-507.0
-501.0
-501.0
-502.0
-518.0
-503.0
-501.0
-506.0
-501.0
-500.0
-501.0
-505.0
-501.0
-506.0
-501.0
-511.0
-501.0
-501.0
-501.0
-505.0
-501.0
-501.0
-501.0
-495.0
-501.0
-501.0
-502.0
-495.0
-501.0
-502.0
-505.0
-501.0
-511.0
-502.0
-501.0
-505.0
-501.0
-499.0
-501.0
-507.0
-505.0
-497.0
-507.0
-515.0
-496.0
-505.0
-505.0
-501.0
-495.0
-494.0
-501.0
-493.0
-496.0
-501.0
-500.0
-493.0
-501.0
-518.0
-501.0
-498.0
-501.0
-500.0
-499.0
-501.0
-501.0
-501.0
-507.0
